docId,filename,0 â dream good,1 ye oâ aâ,2 â 1 ft,3 jack de water,4 â man œ,5 â love iâ,6 fo faid 1,7 â god lord,8 â œ time,9 â oâ ye
0,104184105.txt,9.197215908489357E-5,8.355239718012984E-5,0.009004099523235562,4.752194540471411E-5,0.03809709290195578,0.2903719617223679,1.0503934632613946E-4,0.08474207311544969,0.09548315687623521,0.48197353001275994
1,104184106.txt,0.05292446851874524,0.019929799793561243,4.139013952766671E-4,8.051346182594391E-5,0.18987105717951594,0.4391904197336613,1.7796159918597948E-4,1.0844195696539561E-4,0.07932013557122086,0.21798330079004147
2,104184107.txt,0.5458816965916514,0.004430256149712439,1.5693080501423957E-4,0.05317476769673401,0.019470638436970424,0.020841401220410522,6.747417945573563E-5,0.028801528568284964,0.3264315437106316,7.437626411346019E-4
3,104184108.txt,0.19514611890647948,5.63861637171041E-5,8.217166038691776E-4,3.207065606949147E-5,0.16824635907407792,0.021238655335223705,7.088684440632459E-5,0.030258233456898733,0.4683996781240929,0.11572989483516516
4,104184109.txt,5.5669228408836975E-5,0.16323934356739644,0.0030935161392521087,2.876424843658841E-5,0.003029150300812044,0.002553385159303291,6.357858096108602E-5,3.874198575445367E-5,5.9722034782735965E-5,0.8278381287548925
5,104184110.txt,1.3134748476265125E-4,1.1932303563049258E-4,3.488895647640941E-4,6.786714655872922E-5,1.9702306283141108E-4,0.9359393658542849,1.5000902532163725E-4,9.140889013561713E-5,0.05574119915960603,0.0072135667761044076
6,104184111.txt,0.026238516440130318,4.323691349093283E-5,0.05150092247364018,0.09975156571055249,0.09476164973074078,0.01729314526954998,5.4356036254187673E-5,3.3122173385990196E-5,0.7097243228850781,5.991623671769784E-4
7,104184112.txt,0.10321221345022356,0.003350366311851053,1.0400108810818262E-4,0.026538607463797187,0.03610714944537064,0.03370078342375832,4.471644736651E-5,0.017015583389263077,0.779848022690897,7.855628936449113E-5
8,104184113.txt,0.1803170895511492,0.09493503978768766,0.00432222298923164,1.7225753009310232E-5,0.29958211130463147,1.1789670595936247E-4,3.8074658363922707E-5,2.3201019111194507E-5,0.3584864334450121,0.062160704785844234
9,104184114.txt,0.01872687674811405,0.13435501092734944,0.011594048540335201,6.316622172760474E-4,0.010323734404253763,0.03151861956212673,6.672523352932632E-4,3.960529314333606E-5,0.009094907858034284,0.783048282114074
10,104184115.txt,1.535439075618996E-4,1.3948744573191317E-4,0.09140251035337114,7.933602151981607E-5,0.15947097635133825,0.01191732529170339,1.7535906347241733E-4,1.0685608637790965E-4,0.6598760209968461,0.07667858448207715
11,104184116.txt,9.66769989539611E-5,8.782652375626462E-5,0.01867261260047376,4.995293262541613E-5,1.450168495702686E-4,0.39321262841190796,0.20166128703993136,0.1074928735518504,0.13924543563357006,0.13933568945736052
12,104184117.txt,8.778547285013364E-5,0.03445292617186718,0.029032327148079948,4.5358687777030466E-5,0.001060684224877021,3.104444765149471E-4,1.0025782559478522E-4,6.109270122500893E-5,9.417639174863021E-5,0.9347549468994653
13,104184118.txt,0.004873152045679819,8.211379631256163E-5,2.4009317652069556E-4,4.6703714998465406E-5,0.13118330290663682,0.1304108161989026,1.0323078427581546E-4,0.009628431208224677,0.0900129220364523,0.6334192341319962
14,104184119.txt,3.0365326018869836E-4,2.381616090565047E-5,0.19677253412749285,0.3420934796825363,0.08854175680493653,0.01923587015102763,0.3529299212760838,1.8244665199587467E-5,2.8124746536098165E-5,5.2599125092954525E-5
15,104184120.txt,0.38165398577698356,6.134214161360976E-5,0.006610591278028653,3.488945862900345E-5,0.023682472390354523,0.02096165115107026,7.711733803936127E-5,0.042207293894617845,0.5245751795308082,1.354770398548358E-4
16,104184121.txt,1.4286534915682395E-4,1.2978647576394116E-4,0.18029522732940462,7.381841842583359E-5,0.0077737850468449134,0.01562419896027248,1.631633206983534E-4,9.942453811628741E-5,1.5326616867995154E-4,0.7955444643926367
17,104184122.txt,0.5704726160626636,2.7326318727743544E-5,0.012494664652404853,1.5542340740888692E-5,0.02837625091551303,0.004881284696078457,3.435375588893983E-5,0.016892280991277705,0.3606971099381846,0.00610857032852019
18,104184123.txt,0.1472809810837599,2.3067390197232433E-5,0.1809123584057295,0.040051592227647204,0.0513625728053039,0.02078081860777227,2.8999569964983818E-5,0.02312712483043312,0.536112825071128,3.196600080638786E-4
19,104184124.txt,0.0015944945654842986,1.2505954690280867E-4,0.003279327572067389,7.112989167074335E-5,2.0649503959488025E-4,0.9066366358327974,1.5722078003571876E-4,9.580341568453694E-5,0.08755763339315406,2.7619996260809553E-4
20,104184125.txt,1.0299974688744308E-4,9.357044400196104E-5,2.7359135903750606E-4,5.3219891725782096E-5,0.06773527279068722,0.4407292769209501,1.1763370777050578E-4,0.04367217868905562,0.14072210398665,0.3065001524632338
21,104184126.txt,0.26214082057027127,1.1593876545335047E-4,0.06111525163044145,6.594228134814496E-5,0.006944352529228017,0.2097917649727898,1.4575443132798228E-4,0.0811238261412726,0.1784139348559334,0.20014241382193393
22,104184127.txt,0.2774814609722254,0.1875057972871939,2.0909201012985276E-4,4.067326606726422E-5,0.055931842535765275,0.012773995532819073,9.229427529133558E-4,5.4782001276302E-5,8.444824192614055E-5,0.4649949653996834
23,104184128.txt,0.14339210026321186,9.919275347207469E-5,2.9003047403011625E-4,0.13871729990908876,0.20699960045759874,0.05122845806422053,1.247018917067585E-4,0.03358570104278935,0.42534384322591556,2.1907191796619057E-4
24,104184129.txt,0.06912015435626769,0.1427224370862978,2.8869611211009705E-4,5.615811801295722E-5,0.034668764974995527,0.09354983997266418,1.2412816766550283E-4,7.563823587643034E-5,0.010468319019638836,0.6489258639564709
25,104184130.txt,1.5790579938492933E-4,1.4345002007702716E-4,0.1407889067094733,8.158980774314432E-5,2.3686090593877585E-4,0.09580913113034073,0.29930100139176236,0.46299493645014805,1.694015870671827E-4,3.1681619806440877E-4
26,104184131.txt,0.045807374169478464,9.734833215984928E-4,0.03339636591004629,4.3772749128344325E-5,0.004609688881035847,0.16346672266708567,0.3300171085825916,0.394528947753436,0.026986564784868897,1.6997118073040784E-4
27,104184132.txt,8.178328485214995E-5,0.3142455716652534,0.0893622530186629,0.01389002707560165,1.2267607026583983E-4,0.04356349869941599,0.3064753077797712,0.18786729233184632,0.005280650877825944,0.039110939196504595
28,104184133.txt,0.08647790527226874,1.0901854877061279E-4,0.007938574960312587,6.200628225673815E-5,1.8000856473963836E-4,0.0461432727384964,0.36207825594252807,0.47251203049799384,0.02425815453800798,2.4077265462534505E-4
29,104184134.txt,0.00593847268863243,3.616866709017666E-5,0.038025706005693514,2.0571587181575396E-5,0.01354237040829306,0.05912738854523656,0.3893569788568059,0.49340841826965387,4.6404474838879586E-4,7.988022302411757E-5
30,104184135.txt,4.443810241110289E-5,0.10020869428345971,0.04197240823617191,2.2961134083198736E-5,0.0019477530676246533,0.23482378866555306,0.09269469494086022,3.092588813917547E-5,4.767326535198362E-5,0.5282066624163452
31,104184136.txt,3.465866474448722E-5,0.00223217327673407,0.07088084287031357,0.5531240340466876,5.198848149962917E-5,0.03093219192689417,0.15298736439613592,0.14270202655924008,0.02607865066370946,0.02097606911404106
